,Stesyen ID,Tahun,Bulan,Hari,Jumlah Hujan(mm)
1,48657,71,1,1,125
2,48657,71,1,2,130.3
3,48657,71,1,3,327.2
4,48657,71,1,4,252.2
5,48657,71,1,5,33.8
6,48657,71,1,6,6.1
7,48657,71,1,7,5.1
8,48657,71,1,8,0.5
9,48657,71,1,9,0.5
10,48657,71,1,10,0
11,48657,71,1,11,2.3
12,48657,71,1,12,0
13,48657,71,1,13,0
14,48657,71,1,14,0
15,48657,71,1,15,0
16,48657,71,1,16,0
17,48657,71,1,17,0
18,48657,71,1,18,0
19,48657,71,1,19,0
20,48657,71,1,20,0
21,48657,71,1,21,0.8
22,48657,71,1,22,5.1
23,48657,71,1,23,0
24,48657,71,1,24,0.3
25,48657,71,1,25,0
26,48657,71,1,26,0
27,48657,71,1,27,0
28,48657,71,1,28,0
29,48657,71,1,29,0
30,48657,71,1,30,0
31,48657,71,1,31,45.7
32,48657,71,2,1,43.4
33,48657,71,2,2,0
34,48657,71,2,3,0
35,48657,71,2,4,0
36,48657,71,2,5,0
37,48657,71,2,6,0
38,48657,71,2,7,0
39,48657,71,2,8,0
40,48657,71,2,9,0
41,48657,71,2,10,0
42,48657,71,2,11,0
43,48657,71,2,12,0
44,48657,71,2,13,0
45,48657,71,2,14,0
46,48657,71,2,15,0
47,48657,71,2,16,8.9
48,48657,71,2,17,7.4
49,48657,71,2,18,0
50,48657,71,2,19,8.6
51,48657,71,2,20,0
52,48657,71,2,21,7.1
53,48657,71,2,22,66.3
54,48657,71,2,23,47.2
55,48657,71,2,24,0.8
56,48657,71,2,25,0
57,48657,71,2,26,0.3
58,48657,71,2,27,26.4
59,48657,71,2,28,3.3
60,48657,71,3,1,0.3
61,48657,71,3,2,2.8
62,48657,71,3,3,10.2
63,48657,71,3,4,6.1
64,48657,71,3,5,1.5
65,48657,71,3,6,0
66,48657,71,3,7,0
67,48657,71,3,8,0
68,48657,71,3,9,0
69,48657,71,3,10,0
70,48657,71,3,11,5.1
71,48657,71,3,12,0
72,48657,71,3,13,0
73,48657,71,3,14,0
74,48657,71,3,15,0
75,48657,71,3,16,8.4
76,48657,71,3,17,27.7
77,48657,71,3,18,6.1
78,48657,71,3,19,4.3
79,48657,71,3,20,0
80,48657,71,3,21,0
81,48657,71,3,22,2.5
82,48657,71,3,23,0
83,48657,71,3,24,0
84,48657,71,3,25,0
85,48657,71,3,26,0
86,48657,71,3,27,0
87,48657,71,3,28,0
88,48657,71,3,29,0
89,48657,71,3,30,0
90,48657,71,3,31,0
91,48657,71,4,1,0.5
92,48657,71,4,2,2.5
93,48657,71,4,3,0
94,48657,71,4,4,0
95,48657,71,4,5,0
96,48657,71,4,6,0
97,48657,71,4,7,0
98,48657,71,4,8,0
99,48657,71,4,9,0
100,48657,71,4,10,3.8
101,48657,71,4,11,0
102,48657,71,4,12,0
103,48657,71,4,13,0
104,48657,71,4,14,0
105,48657,71,4,15,0
106,48657,71,4,16,0
107,48657,71,4,17,0
108,48657,71,4,18,0
109,48657,71,4,19,0
110,48657,71,4,20,0
111,48657,71,4,21,0
112,48657,71,4,22,0
113,48657,71,4,23,0
114,48657,71,4,24,0
115,48657,71,4,25,12.7
116,48657,71,4,26,0.3
117,48657,71,4,27,0
118,48657,71,4,28,0
119,48657,71,4,29,0
120,48657,71,4,30,18.5
121,48657,71,5,1,2.8
122,48657,71,5,2,0
123,48657,71,5,3,0
124,48657,71,5,4,0
125,48657,71,5,5,0
126,48657,71,5,6,1
127,48657,71,5,7,0
128,48657,71,5,8,5.1
129,48657,71,5,9,2.8
130,48657,71,5,10,1.5
131,48657,71,5,11,0
132,48657,71,5,12,11.7
133,48657,71,5,13,11.9
134,48657,71,5,14,22.9
135,48657,71,5,15,0
136,48657,71,5,16,0
137,48657,71,5,17,20.6
138,48657,71,5,18,16.5
139,48657,71,5,19,0
140,48657,71,5,20,20.6
141,48657,71,5,21,1.5
142,48657,71,5,22,0
143,48657,71,5,23,0.3
144,48657,71,5,24,0
145,48657,71,5,25,1.3
146,48657,71,5,26,0
147,48657,71,5,27,4.1
148,48657,71,5,28,3.8
149,48657,71,5,29,0.5
150,48657,71,5,30,0
151,48657,71,5,31,0
152,48657,71,6,1,0
153,48657,71,6,2,0
154,48657,71,6,3,1.8
155,48657,71,6,4,0.3
156,48657,71,6,5,5.6
157,48657,71,6,6,0
158,48657,71,6,7,0
159,48657,71,6,8,0.5
160,48657,71,6,9,0
161,48657,71,6,10,0
162,48657,71,6,11,0
163,48657,71,6,12,0
164,48657,71,6,13,0
165,48657,71,6,14,6.9
166,48657,71,6,15,1.3
167,48657,71,6,16,0
168,48657,71,6,17,0
169,48657,71,6,18,1.5
170,48657,71,6,19,22.4
171,48657,71,6,20,0
172,48657,71,6,21,0.5
173,48657,71,6,22,0
174,48657,71,6,23,14.2
175,48657,71,6,24,0
176,48657,71,6,25,15.2
177,48657,71,6,26,0
178,48657,71,6,27,0
179,48657,71,6,28,30
180,48657,71,6,29,0
181,48657,71,6,30,0
182,48657,71,7,1,1.5
183,48657,71,7,2,0
184,48657,71,7,3,53.1
185,48657,71,7,4,0
186,48657,71,7,5,0
187,48657,71,7,6,0
188,48657,71,7,7,0
189,48657,71,7,8,0
190,48657,71,7,9,0
191,48657,71,7,10,38.6
192,48657,71,7,11,88.9
193,48657,71,7,12,0
194,48657,71,7,13,133.4
195,48657,71,7,14,0
196,48657,71,7,15,0
197,48657,71,7,16,6.6
198,48657,71,7,17,0.8
199,48657,71,7,18,0
200,48657,71,7,19,2.5
201,48657,71,7,20,0
202,48657,71,7,21,0
203,48657,71,7,22,0
204,48657,71,7,23,13.5
205,48657,71,7,24,0.5
206,48657,71,7,25,6.9
207,48657,71,7,26,29.5
208,48657,71,7,27,0
209,48657,71,7,28,1.5
210,48657,71,7,29,26.4
211,48657,71,7,30,0
212,48657,71,7,31,0
213,48657,71,8,1,26.7
214,48657,71,8,2,0
215,48657,71,8,3,0
216,48657,71,8,4,0
217,48657,71,8,5,0
218,48657,71,8,6,1
219,48657,71,8,7,0
220,48657,71,8,8,0
221,48657,71,8,9,0
222,48657,71,8,10,15.2
223,48657,71,8,11,9.9
224,48657,71,8,12,0
225,48657,71,8,13,0
226,48657,71,8,14,0
227,48657,71,8,15,0
228,48657,71,8,16,0
229,48657,71,8,17,0
230,48657,71,8,18,1.8
231,48657,71,8,19,0
232,48657,71,8,20,0
233,48657,71,8,21,0
234,48657,71,8,22,13
235,48657,71,8,23,23.4
236,48657,71,8,24,0
237,48657,71,8,25,0
238,48657,71,8,26,0
239,48657,71,8,27,7.1
240,48657,71,8,28,4.6
241,48657,71,8,29,1
242,48657,71,8,30,36.3
243,48657,71,8,31,0
244,48657,71,9,1,8.9
245,48657,71,9,2,0
246,48657,71,9,3,1.5
247,48657,71,9,4,0
248,48657,71,9,5,0
249,48657,71,9,6,8.6
250,48657,71,9,7,0
251,48657,71,9,8,0
252,48657,71,9,9,0
253,48657,71,9,10,15.5
254,48657,71,9,11,28.7
255,48657,71,9,12,6.9
256,48657,71,9,13,0
257,48657,71,9,14,0
258,48657,71,9,15,1.3
259,48657,71,9,16,16.8
260,48657,71,9,17,0
261,48657,71,9,18,0
262,48657,71,9,19,0
263,48657,71,9,20,1.5
264,48657,71,9,21,42.4
265,48657,71,9,22,10.7
266,48657,71,9,23,0
267,48657,71,9,24,0
268,48657,71,9,25,1.5
269,48657,71,9,26,5.6
270,48657,71,9,27,0
271,48657,71,9,28,0
272,48657,71,9,29,0
273,48657,71,9,30,33.5
274,48657,71,10,1,2
275,48657,71,10,2,0.5
276,48657,71,10,3,0.3
277,48657,71,10,4,16.5
278,48657,71,10,5,0
279,48657,71,10,6,0
280,48657,71,10,7,15.7
281,48657,71,10,8,0
282,48657,71,10,9,0
283,48657,71,10,10,0
284,48657,71,10,11,26.2
285,48657,71,10,12,49.8
286,48657,71,10,13,0
287,48657,71,10,14,2.5
288,48657,71,10,15,4.3
289,48657,71,10,16,4.8
290,48657,71,10,17,0.3
291,48657,71,10,18,18.3
292,48657,71,10,19,21.6
293,48657,71,10,20,5.3
294,48657,71,10,21,2.8
295,48657,71,10,22,0
296,48657,71,10,23,11.4
297,48657,71,10,24,40.9
298,48657,71,10,25,20.6
299,48657,71,10,26,11.2
300,48657,71,10,27,12.2
301,48657,71,10,28,0.8
302,48657,71,10,29,0
303,48657,71,10,30,0
304,48657,71,10,31,0
305,48657,71,11,1,0
306,48657,71,11,2,16.3
307,48657,71,11,3,0
308,48657,71,11,4,0
309,48657,71,11,5,12.2
310,48657,71,11,6,4.6
311,48657,71,11,7,5.6
312,48657,71,11,8,2.5
313,48657,71,11,9,0
314,48657,71,11,10,4.8
315,48657,71,11,11,57.2
316,48657,71,11,12,0
317,48657,71,11,13,1
318,48657,71,11,14,0
319,48657,71,11,15,0
320,48657,71,11,16,0.8
321,48657,71,11,17,9.7
322,48657,71,11,18,0
323,48657,71,11,19,13.5
324,48657,71,11,20,27.4
325,48657,71,11,21,2.3
326,48657,71,11,22,16.3
327,48657,71,11,23,11.9
328,48657,71,11,24,5.3
329,48657,71,11,25,1.5
330,48657,71,11,26,6.1
331,48657,71,11,27,39.4
332,48657,71,11,28,13.2
333,48657,71,11,29,1.8
334,48657,71,11,30,0
335,48657,71,12,1,0.5
336,48657,71,12,2,102.1
337,48657,71,12,3,1.5
